time=2024-09-13T14:49:18.124+05:00 level=INFO msg="Server localhost:8081 is healthy\n"
time=2024-09-13T14:49:18.125+05:00 level=INFO msg="Server localhost:8082 is healthy\n"
time=2024-09-13T14:49:18.125+05:00 level=INFO msg="Server localhost:8083 is healthy\n"
time=2024-09-13T14:49:28.134+05:00 level=INFO msg="Server localhost:8081 is healthy\n"
time=2024-09-13T14:49:28.134+05:00 level=INFO msg="Server localhost:8082 is healthy\n"
time=2024-09-13T14:49:28.134+05:00 level=INFO msg="Server localhost:8083 is healthy\n"
time=2024-09-13T14:49:38.144+05:00 level=INFO msg="Server localhost:8081 is healthy\n"
time=2024-09-13T14:49:38.144+05:00 level=INFO msg="Server localhost:8082 is healthy\n"
time=2024-09-13T14:49:38.145+05:00 level=INFO msg="Server localhost:8083 is healthy\n"
time=2024-09-13T14:49:48.155+05:00 level=INFO msg="Server localhost:8081 is healthy\n"
time=2024-09-13T14:49:48.155+05:00 level=INFO msg="Server localhost:8082 is healthy\n"
time=2024-09-13T14:49:48.156+05:00 level=INFO msg="Server localhost:8083 is healthy\n"
time=2024-09-13T14:49:58.166+05:00 level=INFO msg="Server localhost:8081 is healthy\n"
time=2024-09-13T14:49:58.167+05:00 level=INFO msg="Server localhost:8082 is healthy\n"
time=2024-09-13T14:49:58.167+05:00 level=INFO msg="Server localhost:8083 is healthy\n"
time=2024-09-13T14:50:08.177+05:00 level=INFO msg="Server localhost:8081 is healthy\n"
time=2024-09-13T14:50:08.177+05:00 level=INFO msg="Server localhost:8082 is healthy\n"
time=2024-09-13T14:50:08.178+05:00 level=INFO msg="Server localhost:8083 is healthy\n"
time=2024-09-13T14:50:18.187+05:00 level=INFO msg="Server localhost:8081 is healthy\n"
time=2024-09-13T14:50:18.187+05:00 level=INFO msg="Server localhost:8082 is healthy\n"
time=2024-09-13T14:50:18.188+05:00 level=INFO msg="Server localhost:8083 is healthy\n"
time=2024-09-13T14:50:28.197+05:00 level=INFO msg="Server localhost:8081 is healthy\n"
time=2024-09-13T14:50:28.197+05:00 level=INFO msg="Server localhost:8082 is healthy\n"
time=2024-09-13T14:50:28.198+05:00 level=INFO msg="Server localhost:8083 is healthy\n"
time=2024-09-13T14:50:38.208+05:00 level=INFO msg="Server localhost:8081 is healthy\n"
time=2024-09-13T14:50:38.209+05:00 level=INFO msg="Server localhost:8082 is healthy\n"
time=2024-09-13T14:50:38.209+05:00 level=INFO msg="Server localhost:8083 is healthy\n"
time=2024-09-13T14:50:48.211+05:00 level=INFO msg="Server localhost:8081 is healthy\n"
time=2024-09-13T14:50:48.212+05:00 level=INFO msg="Server localhost:8082 is healthy\n"
time=2024-09-13T14:50:48.213+05:00 level=INFO msg="Server localhost:8083 is healthy\n"
time=2024-09-13T14:50:58.214+05:00 level=INFO msg="Server localhost:8081 is healthy\n"
time=2024-09-13T14:50:58.214+05:00 level=INFO msg="Server localhost:8082 is healthy\n"
time=2024-09-13T14:50:58.215+05:00 level=INFO msg="Server localhost:8083 is healthy\n"
time=2024-09-13T14:51:08.223+05:00 level=INFO msg="Server localhost:8081 is healthy\n"
time=2024-09-13T14:51:08.224+05:00 level=INFO msg="Server localhost:8082 is healthy\n"
time=2024-09-13T14:51:08.322+05:00 level=INFO msg="Server localhost:8083 is healthy\n"
time=2024-09-13T14:51:18.331+05:00 level=INFO msg="Server localhost:8081 is healthy\n"
time=2024-09-13T14:51:18.332+05:00 level=INFO msg="Server localhost:8082 is healthy\n"
time=2024-09-13T14:51:18.333+05:00 level=INFO msg="Server localhost:8083 is healthy\n"
time=2024-09-13T14:51:28.343+05:00 level=INFO msg="Server localhost:8081 is healthy\n"
time=2024-09-13T14:51:28.344+05:00 level=INFO msg="Server localhost:8082 is healthy\n"
time=2024-09-13T14:51:28.344+05:00 level=INFO msg="Server localhost:8083 is healthy\n"
time=2024-09-13T14:51:38.350+05:00 level=INFO msg="Server localhost:8081 is healthy\n"
time=2024-09-13T14:51:38.351+05:00 level=INFO msg="Server localhost:8082 is healthy\n"
time=2024-09-13T14:51:38.351+05:00 level=INFO msg="Server localhost:8083 is healthy\n"
time=2024-09-13T14:51:48.361+05:00 level=INFO msg="Server localhost:8081 is healthy\n"
time=2024-09-13T14:51:48.361+05:00 level=INFO msg="Server localhost:8082 is healthy\n"
time=2024-09-13T14:51:48.362+05:00 level=INFO msg="Server localhost:8083 is healthy\n"
time=2024-09-13T14:51:58.372+05:00 level=INFO msg="Server localhost:8081 is healthy\n"
